hospital_count,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Hospital Ownership,Hospital Type,State,County Name,ZIP Code
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,PRINCE WILLIAM,22191
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,TX,COLLIN,75069
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,TX,WINKLER,79745
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,AL,RANDOLPH,36278
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,JEFFERSON,47250
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ME,PISCATAQUIS,4441
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - State,Acute Care Hospitals,VA,PETERSBURG CITY,23803
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,CA,FRESNO,93710
1,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,MORGAN,35601
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,CT,TOLLAND,6066
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,LAFOURCHE,70301
1,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average,Physician,Acute Care Hospitals,IN,LAKE,46307
1,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,KY,WARREN,42104
1,Below the national average,Same as the national average,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,LA,CADDO,71082
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MN,FARIBAULT,56013
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,MN,OTTER TAIL,56573
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,PHILADELPHIA,19107
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,LOGAN,43311
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Local,Acute Care Hospitals,OH,HOLMES,44654
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Childrens,TX,HARRIS,77082
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,WI,JUNEAU,53948
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WV,BERKELEY,25401
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,LEE,33990
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,NC,DURHAM,27710
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,AZ,PINAL,85222
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,FL,BREVARD,32955
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,GA,COFFEE,31533
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,LOS ANGELES,90017
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CO,DOUGLAS,80109
1,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,ME,AROOSTOOK,4743
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Proprietary,Critical Access Hospitals,KS,MARION,67063
1,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,IL,LAKE,60099
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,NV,CLARK,89027
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,ATLANTIC,8244
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,GUILFORD,27261
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,TETON,59422
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,NH,HILLSBOROUGH,3060
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,NC,ANSON,28170
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,TN,LOUDON,37772
1,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,NC,PITT,27834
1,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OK,HUGHES,74848
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,TX,COLORADO,77434
1,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,UT,SANPETE,84647
1,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,TX,TRAVIS,78737
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,COOK,60426
1,Same as the national average,Same as the national average,Not Available,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,NE,BOX BUTTE,69301
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - State,Acute Care Hospitals,PR,BAYAMON,956
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Church,Acute Care Hospitals,CA,BUTTE,95969
1,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,AZ,PIMA,85711
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,CA,LOS ANGELES,90020
1,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,AR,WASHINGTON,72764
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,AR,DESHA,71639
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,AZ,MARICOPA,85013
1,Not Available,Above the national average,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,CA,ORANGE,92618
1,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,ME,HANCOCK,4605
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,IN,ORANGE,47454
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,LA,CALCASIEU,70601
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MO,LIVINGSTON,64601
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,MT,CUSTER,59301
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,MO,SAINT LOUIS,63136
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Church,Acute Care Hospitals,OK,TULSA,74104
1,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,PA,LUZERNE,18201
1,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available,Government - Local,Acute Care Hospitals,TN,LINCOLN,37334
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,OH,SANDUSKY,43420
1,Not Available,Not Available,Not Available,Same as the national average,Not Available,Proprietary,Critical Access Hospitals,TX,CULBERSON,79855
1,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,GONZALES,78629
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,WISE,76234
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WA,ASOTIN,99403
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,WA,KING,98122
1,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,WV,OHIO,26003
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,IL,FAYETTE,62471
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,LA,WEBSTER,71055
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NE,RICHARDSON,68355
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,AR,BENTON,72761
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Proprietary,Acute Care Hospitals,AZ,PIMA,85755
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,SANTA CRUZ,95076
1,Not Available,Not Available,Not Available,Above the national average,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,LA,UNION,71222
1,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,LA,EAST BATON ROUGE,70808
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IA,CLINTON,52732
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,LA,VERMILION,70510
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,CUMBERLAND,8360
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NY,SAINT LAWRENCE,13642
1,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,NC,CALDWELL,28645
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,SC,EDGEFIELD,29824
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WY,CROOK,82729
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,WI,SAINT CROIX,54016
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,WA,GARFIELD,99347
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,AL,MADISON,35801
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Federal,Acute Care Hospitals,AZ,GILA,85542
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Physician,Acute Care Hospitals,CA,RIVERSIDE,92585
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,MERCER,8534
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,AL,LIMESTONE,35611
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,CT,NEW LONDON,6320
1,Not Available,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,CA,SAN MATEO,94403
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,FL,MIAMI-DADE,33137
1,Same as the national average,Above the national average,Not Available,Not Available,Below the national average,Government - Local,Critical Access Hospitals,IA,HENRY,52641
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,LA,AVOYELLES,71351
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,IA,PLYMOUTH,51031
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,IL,COOK,60302
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Critical Access Hospitals,MO,LAFAYETTE,64067
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,NY,MONROE,14620
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,BUCKS,18901
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,PORTAGE,44266
1,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TN,KNOX,37916
1,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,ERIE,44870
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,RI,WASHINGTON,2879
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OR,DOUGLAS,97467
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ND,TRAILL,58045
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,TN,PUTNAM,38501
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,TX,HAMILTON,76531
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Church,Critical Access Hospitals,WA,FRANKLIN,99301
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,MI,GENESEE,48503
1,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,CA,TUOLUMNE,95370
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,FL,BROWARD,33024
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,CA,SAN MATEO,94025
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,MORGAN,62650
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,KS,SALINE,67401
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,COOK,60153
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,MA,BRISTOL,2721
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NV,WASHOE,89503
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Local,Acute Care Hospitals,MS,HARRISON,39502
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Church,Acute Care Hospitals,NY,STEUBEN,14843
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,MN,PENNINGTON,56701
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NY,SAINT LAWRENCE,13690
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,NC,HAYWOOD,28721
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Church,Acute Care Hospitals,OR,LINN,97321
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,OK,LE FLORE,74953
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,SC,MARION,29574
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Critical Access Hospitals,TX,CHAMBERS,77665
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Hospital District or Authority,Critical Access Hospitals,TX,FISHER,79546
1,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,MIDLAND,79701
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,FAIRFAX,22306
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,WY,ALBANY,82072
1,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,WI,WALWORTH,53121
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,LA,MOREHOUSE,71220
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Proprietary,Acute Care Hospitals,NC,VANCE,27536
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,NC,HALIFAX,27874
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,PR,SAN JUAN,923
1,Below the national average,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,PR,MANATI,674
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,AR,CLAY,72454
1,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,CA,SAN BERNARDINO,92354
1,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average,Proprietary,Acute Care Hospitals,IN,HENDRICKS,46123
1,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,ME,SOMERSET,4967
1,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,HAMPDEN,1104
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,LA,TERREBONNE,70363
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Proprietary,Acute Care Hospitals,LA,WINN,71483
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,KY,BARREN,42141
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IL,COOK,60629
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,KINGS,11237
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Government - Local,Acute Care Hospitals,MI,BRANCH,49036
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NJ,BERGEN,7666
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Local,Acute Care Hospitals,NV,CLARK,89102
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MT,GALLATIN,59715
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,NE,BROWN,69210
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,SC,CHESTER,29706
1,Below the national average,Above the national average,Same as the national average,Same as the national average,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,PA,MONTGOMERY,19446
1,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Voluntary non-profit - Church,Acute Care Hospitals,TN,HAMILTON,37404
1,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,OH,GALLIA,45631
1,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Critical Access Hospitals,NC,BLADEN,28337
1,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Government - Hospital District or Authority,Acute Care Hospitals,TX,FORT BEND,77469
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,WI,FOND DU LAC,54971
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,OK,DEWEY,73663
1,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,WY,FREMONT,82501
1,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Physician,Acute Care Hospitals,AR,PULASKI,72118
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,CA,ALAMEDA,94602
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Proprietary,Acute Care Hospitals,FL,BREVARD,32907
1,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Voluntary non-profit - Private,Acute Care Hospitals,AR,SEBASTIAN,72917
1,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,IA,GRUNDY,50638
1,Not Available,Not Available,Same as the national average,Not Available,Not Available,Physician,Acute Care Hospitals,LA,SAINT TAMMANY,70433
1,Not Available,Not Available,Not Available,Not Available,Not Available,Government - Local,Critical Access Hospitals,KS,LINCOLN,67455
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,LA,RED RIVER,71019
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Childrens,NY,WESTCHESTER,10595
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MI,LAPEER,48446
1,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MA,SUFFOLK,2111
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,NC,RUTHERFORD,28139
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MN,ITASCA,55744
1,Same as the national average,Above the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,OH,RICHLAND,44875
1,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,SC,HORRY,29569
1,Same as the national average,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,ND,WALSH,58270
1,Not Available,Above the national average,Same as the national average,Not Available,Not Available,Voluntary non-profit - Other,Acute Care Hospitals,OR,CLACKAMAS,97015
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,TN,CUMBERLAND,37862
1,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,UT,SALT LAKE,84065
1,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Voluntary non-profit - Private,Acute Care Hospitals,VA,FREDERICKSBURG CITY,22401
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,TX,MCCULLOCH,76825
1,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available,Proprietary,Acute Care Hospitals,TX,BEXAR,78258
1,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Other,Acute Care Hospitals,WI,WAUKESHA,53066
1,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,TX,MONTGOMERY,77384
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,IA,APPANOOSE,52544
1,Same as the national average,Not Available,Not Available,Above the national average,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,KS,WILSON,66757
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Childrens,MO,SAINT LOUIS CITY,63110
1,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,PA,BUTLER,16001
1,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Proprietary,Acute Care Hospitals,CA,RIVERSIDE,92270
1,Not Available,Not Available,Not Available,Not Available,Not Available,Proprietary,Acute Care Hospitals,FL,MIAMI-DADE,33126
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Government - Hospital District or Authority,Acute Care Hospitals,AL,DALE,36360
1,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Proprietary,Acute Care Hospitals,CA,LOS ANGELES,91307
1,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Proprietary,Acute Care Hospitals,CA,LOS ANGELES,91436
1,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Government - Hospital District or Authority,Acute Care Hospitals,GA,WASHINGTON,31082
1,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available,Voluntary non-profit - Private,Acute Care Hospitals,IL,SAINT CLAIR,62207
1,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,ME,YORK,3909
1,Same as the national average,Same as the national average,Not Available,Not Available,Not Available,Voluntary non-profit - Other,Critical Access Hospitals,IA,CRAWFORD,51442
1,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,IN,HAMILTON,46037
1,Not Available,Not Available,Not Available,Not Available,Not Available,Voluntary non-profit - Private,Critical Access Hospitals,MT,PHILLIPS,59538
1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,NY,KINGS,11219
1,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Voluntary non-profit - Other,Acute Care Hospitals,MI,HURON,48413
1,Same as the national average,Not Available,Not Available,Same as the national average,Not Available,Government - Local,Critical Access Hospitals,MO,CEDAR,64744
1,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Voluntary non-profit - Private,Acute Care Hospitals,MN,RAMSEY,55109
